Title,Artist,Album,Year
My Wish,Rascal Flatts,Me and My Gang,2006
Life Is a Highway,Rascal Flatts,Cars,2006
Take Me There,Rascal Flatts,Still Feels Good,2007
Here Comes Goodbye,Rascal Flatts,Unstoppable,2009
Why Wait,Rascal Flatts,Nothing Like This,2010
I Like the Sound of That,Rascal Flatts,Rewind,2014
Chattahoochee,Alan Jackson,A Lot About Livin' And a Little 'Bout Love,1992
Don't Rock the Jukebox,Alan Jackson,Don't Rock the Jukebox,1991
Here in the Real World,Alan Jackson,Here in the Real World,1990
Wanted,Alan Jackson,Here in the Real World,1990
Someday,Alan Jackson,Don't Rock the Jukebox,1991
Midnight in Montgomery,Alan Jackson,Don't Rock the Jukebox,1991
Mercury Blues,Alan Jackson,A Lot About Livin' And a Little 'Bout Love,1992
Gone Country,Alan Jackson,Who I Am,1994
Livin' on Love,Alan Jackson,Who I Am,1994
Tall Tall Trees,Alan Jackson,The Greatest Hits Collection,1995
Little Bitty,Alan Jackson,Everything I Love,1996
It's Five O'Clock Somewhere,Alan Jackson & Jimmy Buffett,Greatest Hits Volume II,2003
Should've Been a Cowboy,Toby Keith,Toby Keith,1993
He Ain't Worth Missing,Toby Keith,Toby Keith,1993
A Little Less Talk and a Lot More Action,Toby Keith,Toby Keith,1993
Who's That Man,Toby Keith,Boomtown,1994
You Ain't Much Fun,Toby Keith,Boomtown,1994
How Do You Like Me Now?!,Toby Keith,How Do You Like Me Now?!,1999
You Shouldn't Kiss Me Like This,Toby Keith,How Do You Like Me Now?!,1999
I Wanna Talk About Me,Toby Keith,Pull My Chain,2001
Courtesy of the Red White and Blue,Toby Keith,Unleashed,2002
Beer for My Horses,Toby Keith & Willie Nelson,Unleashed,2002
I Love This Bar,Toby Keith,Shock'n Y'all,2003
As Good As I Once Was,Toby Keith,Honkytonk University,2005
Should've Been a Cowboy,Toby Keith,Toby Keith,1993
Check Yes or No,George Strait,Strait Out of the Box,1995
Amarillo by Morning,George Strait,Strait from the Heart,1982
All My Ex's Live in Texas,George Strait,Ocean Front Property,1987
Ocean Front Property,George Strait,Ocean Front Property,1987
The Chair,George Strait,Something Special,1985
I Cross My Heart,George Strait,Pure Country,1992
Heartland,George Strait,Pure Country,1992
Write This Down,George Strait,Always Never the Same,1999
Carrying Your Love with Me,George Strait,Carrying Your Love with Me,1997
Blue Clear Sky,George Strait,Blue Clear Sky,1996
Love Without End Amen,George Strait,Livin' It Up,1990
Troubadour,George Strait,Troubadour,2008
Should've Been a Cowboy,George Strait,Pure Country,1992
Killin' Time,Clint Black,Killin' Time,1989
A Better Man,Clint Black,Killin' Time,1989
Nobody's Home,Clint Black,Killin' Time,1989
Walkin' Away,Clint Black,Killin' Time,1989
Like the Rain,Clint Black,Greatest Hits,1996
When I Said I Do,Clint Black & Lisa Hartman Black,D'lectrified,1999
No Time to Kill,Clint Black,No Time to Kill,1993
Meet in the Middle,Diamond Rio,Diamond Rio,1991
Norma Jean Riley,Diamond Rio,Diamond Rio,1991
In a Week or Two,Diamond Rio,Close to the Edge,1992
Love a Little Stronger,Diamond Rio,Love a Little Stronger,1994
How Your Love Makes Me Feel,Diamond Rio,Greatest Hits,1997
One More Day,Diamond Rio,One More Day,2001
Mountain Music,Alabama,Mountain Music,1982
Dixieland Delight,Alabama,The Closer You Get...,1983
Song of the South,Alabama,Southern Star,1988
If You're Gonna Play in Texas,Alabama,Roll On,1984
I'm in a Hurry,Alabama,American Pride,1992
Tennessee River,Alabama,My Home's in Alabama,1980
Love in the First Degree,Alabama,Feels So Right,1981
Roll On,Alabama,Roll On,1984
The Closer You Get,Alabama,The Closer You Get...,1983
Jukebox in My Mind,Alabama,Pass It On Down,1990
Any Man of Mine,Shania Twain,The Woman in Me,1995
Whose Bed Have Your Boots Been Under?,Shania Twain,The Woman in Me,1995
No One Needs to Know,Shania Twain,The Woman in Me,1995
You're Still the One,Shania Twain,Come On Over,1997
Man! I Feel Like a Woman!,Shania Twain,Come On Over,1997
That Don't Impress Me Much,Shania Twain,Come On Over,1997
Honey I'm Home,Shania Twain,Come On Over,1997
Love Gets Me Every Time,Shania Twain,Come On Over,1997
Heads Carolina Tails California,Jo Dee Messina,Jo Dee Messina,1996
Bye Bye,Jo Dee Messina,I'm Alright,1998
I'm Alright,Jo Dee Messina,I'm Alright,1998
Lesson in Leavin',Jo Dee Messina,I'm Alright,1998
Stand Beside Me,Jo Dee Messina,I'm Alright,1998
No One Else on Earth,Wynonna,Wynonna,1992
Tell Me Why,Wynonna,Tell Me Why,1993
She Is His Only Need,Wynonna,Wynonna,1992
Girls with Guitars,Wynonna,Tell Me Why,1993
Why Not Me,The Judds,Why Not Me,1984
Mama He's Crazy,The Judds,The Judds,1984
Grandpa Tell Me 'Bout the Good Old Days,The Judds,Rockin' with the Rhythm,1986
Love Can Build a Bridge,The Judds,Love Can Build a Bridge,1990
Love Gets Me Every Time,Shania Twain,Come On Over,1997
Wide Open Spaces,Dixie Chicks,Wide Open Spaces,1998
There's Your Trouble,Dixie Chicks,Wide Open Spaces,1998
You Were Mine,Dixie Chicks,Wide Open Spaces,1998
Cowboy Take Me Away,Dixie Chicks,Fly,1999
Ready to Run,Dixie Chicks,Fly,1999
Goodbye Earl,Dixie Chicks,Fly,1999
Sin Wagon,Dixie Chicks,Fly,1999
I Can Love You Better,Dixie Chicks,Wide Open Spaces,1998
Independence Day,Martina McBride,The Way That I Am,1993
My Baby Loves Me,Martina McBride,The Way That I Am,1993
Wild Angels,Martina McBride,Wild Angels,1995
A Broken Wing,Martina McBride,Evolution,1997
Valentine,Martina McBride,Evolution,1997
This One's for the Girls,Martina McBride,Martina,2003
Passionate Kisses,Mary Chapin Carpenter,Come On Come On,1992
He Thinks He'll Keep Her,Mary Chapin Carpenter,Come On Come On,1992
I Feel Lucky,Mary Chapin Carpenter,Come On Come On,1992
Down at the Twist and Shout,Mary Chapin Carpenter,Shooting Straight in the Dark,1990
Shut Up and Kiss Me,Mary Chapin Carpenter,Stones in the Road,1994
Strawberry Wine,Deana Carter,Did I Shave My Legs for This?,1996
We Danced Anyway,Deana Carter,Did I Shave My Legs for This?,1996
How Do I Get There,Deana Carter,Did I Shave My Legs for This?,1996
Did I Shave My Legs for This?,Deana Carter,Did I Shave My Legs for This?,1996
Maybe It Was Memphis,Pam Tillis,Put Yourself in My Place,1991
Mi Vida Loca,Pam Tillis,Sweetheart's Dance,1994
Shake the Sugar Tree,Pam Tillis,Homeward Looking Angel,1992
Spilled Perfume,Pam Tillis,Sweetheart's Dance,1994
Down Came a Blackbird,Lila McCann,Lila,1997
I Wanna Fall in Love,Lila McCann,Lila,1997
That Ain't My Truck,Rhett Akins,A Thousand Memories,1995
Don't Get Me Started,Rhett Akins,Somebody New,1996
Here's a Quarter Call Someone Who Cares,Travis Tritt,It's All About to Change,1991
T-R-O-U-B-L-E,Travis Tritt,T-R-O-U-B-L-E,1992
Anymore,Travis Tritt,It's All About to Change,1991
I'm Gonna Be Somebody,Travis Tritt,Country Club,1990
Country Club,Travis Tritt,Country Club,1990
It's a Great Day to Be Alive,Travis Tritt,Down the Road I Go,2000
Modern Day Bonnie and Clyde,Travis Tritt,Down the Road I Go,2000
She's in Love with the Boy,Trisha Yearwood,Trisha Yearwood,1991
Walkaway Joe,Trisha Yearwood,Hearts in Armor,1992
The Song Remembers When,Trisha Yearwood,The Song Remembers When,1993
XXX's and OOO's,Trisha Yearwood,Thinkin' About You,1994
How Do I Live,Trisha Yearwood,Songbook,1997
Wrong Side of Memphis,Trisha Yearwood,Hearts in Armor,1992
When You Say Nothing at All,Keith Whitley,Don't Close Your Eyes,1988
Don't Close Your Eyes,Keith Whitley,Don't Close Your Eyes,1988
I'm No Stranger to the Rain,Keith Whitley,Don't Close Your Eyes,1988
Miami My Amy,Keith Whitley,L.A. to Miami,1985
I'm Over You,Keith Whitley,I Wonder Do You Think of Me,1989
Don't Take the Girl,Tim McGraw,Not a Moment Too Soon,1994
Indian Outlaw,Tim McGraw,Not a Moment Too Soon,1994
I Like It I Love It,Tim McGraw,All I Want,1995
Just to See You Smile,Tim McGraw,Everywhere,1997
Where the Green Grass Grows,Tim McGraw,Everywhere,1997
Something Like That,Tim McGraw,A Place in the Sun,1999
My Best Friend,Tim McGraw,A Place in the Sun,1999
Live Like You Were Dying,Tim McGraw,Live Like You Were Dying,2004
It's Your Love,Tim McGraw & Faith Hill,Everywhere,1997
This Kiss,Faith Hill,Faith,1998
Breathe,Faith Hill,Breathe,1999
Wild One,Faith Hill,Take Me as I Am,1993
Piece of My Heart,Faith Hill,Take Me as I Am,1993
The Way You Love Me,Faith Hill,Breathe,1999
Let's Go to Vegas,Faith Hill,It Matters to Me,1995
Watermelon Crawl,Tracy Byrd,No Ordinary Man,1994
Keeper of the Stars,Tracy Byrd,No Ordinary Man,1994
I'm from the Country,Tracy Byrd,I'm from the Country,1998
Ten Rounds with Jose Cuervo,Tracy Byrd,Ten Rounds,2002
Holdin' Heaven,Tracy Byrd,Tracy Byrd,1993
Pickup Man,Joe Diffie,Third Rock from the Sun,1994
John Deere Green,Joe Diffie,Honky Tonk Attitude,1993
Prop Me Up Beside the Jukebox,Joe Diffie,Honky Tonk Attitude,1993
Third Rock from the Sun,Joe Diffie,Third Rock from the Sun,1994
Bigger Than the Beatles,Joe Diffie,Life's So Funny,1995
Honky Tonk Attitude,Joe Diffie,Honky Tonk Attitude,1993
Sold,John Michael Montgomery,John Michael Montgomery,1995
I Swear,John Michael Montgomery,It Still Feels Good,1994
Be My Baby Tonight,John Michael Montgomery,Kickin' It Up,1994
I Love the Way You Love Me,John Michael Montgomery,Life's a Dance,1992
Life's a Dance,John Michael Montgomery,Life's a Dance,1992
I Can Love You Like That,John Michael Montgomery,John Michael Montgomery,1995
I Can Still Make Cheyenne,George Strait,Blue Clear Sky,1996
She's in Love with the Boy,Trisha Yearwood,Trisha Yearwood,1991
Small Town Saturday Night,Hal Ketchum,Past the Point of Rescue,1991
Past the Point of Rescue,Hal Ketchum,Past the Point of Rescue,1991
Hearts Are Gonna Roll,Hal Ketchum,Sure Love,1992
Queen of Memphis,Confederate Railroad,Confederate Railroad,1992
Trashy Women,Confederate Railroad,Confederate Railroad,1992
Jesus and Mama,Confederate Railroad,Confederate Railroad,1992
Daddy Never Was the Cadillac Kind,Confederate Railroad,Notorious,1994
Baby Likes to Rock It,The Tractors,The Tractors,1994
Every Once in a While,BlackHawk,BlackHawk,1994
Goodbye Says It All,BlackHawk,BlackHawk,1994
I'm Not Strong Enough to Say No,BlackHawk,Strong Enough,1995
There You Have It,BlackHawk,The Sky's the Limit,1998
No News,Lonestar,Lonestar,1995
Amazed,Lonestar,Lonely Grill,1999
Smile,Lonestar,Lonely Grill,1999
What About Now,Lonestar,Lonely Grill,1999
I'm Already There,Lonestar,I'm Already There,2001
Tequila Talkin',Lonestar,Lonestar,1995
Dust on the Bottle,David Lee Murphy,Out with a Bang,1995
Party Crowd,David Lee Murphy,Out with a Bang,1995
Every Time I Get Around You,David Lee Murphy,Gettin' Out the Good Stuff,1996
Fishin' in the Dark,Nitty Gritty Dirt Band,Hold On,1987
Mr. Bojangles,Nitty Gritty Dirt Band,Uncle Charlie & His Dog Teddy,1970
Cadillac Ranch,Chris LeDoux,Whatcha Gonna Do with a Cowboy,1992
Whatcha Gonna Do with a Cowboy,Chris LeDoux & Garth Brooks,Whatcha Gonna Do with a Cowboy,1992
This Cowboy's Hat,Chris LeDoux,Western Underground,1991
Hooked on an 8 Second Ride,Chris LeDoux,Western Underground,1991
Should've Been a Cowboy,Toby Keith,Toby Keith,1993
Seminole Wind,John Anderson,Seminole Wind,1992
Straight Tequila Night,John Anderson,Solid Ground,1992
Swingin',John Anderson,Wild & Blue,1982
Money in the Bank,John Anderson,Solid Ground,1993
Wild and Blue,John Anderson,Wild & Blue,1982
Pickup Man,Joe Diffie,Third Rock from the Sun,1994
God Blessed Texas,Little Texas,Big Time,1993
What Might Have Been,Little Texas,Big Time,1993
Kick a Little,Little Texas,Kick a Little,1994
Amy's Back in Austin,Little Texas,Kick a Little,1994
Some Guys Have All the Love,Little Texas,First Time for Everything,1992
Love a Little Stronger,Diamond Rio,Love a Little Stronger,1994
Friends in Low Places,Garth Brooks,No Fences,1990
